id,name,reviewStatus,confidence,issues,currentCuisine,suggestedCuisine,currentRecommendedDishes,suggestedRecommendedDishes,suggestedTags,locationHint,fullAddress,reason
"M029","肖蘸","high_confidence","0.9","cuisine_uncertain、recommended_dishes_empty、full_address_empty","潮汕牛肉火锅（推测）","火锅","","火锅","火锅、餐饮服务、快餐厅、中餐厅","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M038","嫩牛家","high_confidence","0.9","cuisine_empty、full_address_empty","","火锅","吊龙（待核验）","","火锅、吊龙、餐饮服务、餐饮相关场所、餐饮相关","交大附近","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M039","沙胆彪","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","火锅","","火锅","火锅、餐饮服务、中餐厅","超级合生汇","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M047","赵阗阗","high_confidence","0.9","cuisine_uncertain、full_address_empty","潮汕牛肉火锅（推测）","火锅","吊龙；吊龙，虾滑，香菜","","火锅、吊龙、虾滑、香菜、餐饮服务、中餐厅、餐饮相关场所、餐饮相关","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M068","蚝叔","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","清真","","锅包肉","清真、餐饮服务、中餐厅、清真菜馆、锅包肉","距离较远","","/清真|牛街|阿拉伯|ALAMEEN/i"
"M101","小木船","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","火锅","","火锅","火锅、餐饮服务、中餐厅、火锅店","人大附近","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M102","小御府","high_confidence","0.9","cuisine_empty、full_address_empty","","火锅","腊肉炒饭","","火锅、腊肉炒饭、餐饮服务、中餐厅、四川菜、火锅店、快餐厅","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M062","额尔敦","high_confidence","0.9","cuisine_uncertain、recommended_dishes_empty、full_address_empty","涮肉自助（推测）","火锅","","火锅","火锅、餐饮服务、中餐厅、火锅店","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M096","鲜牛记","high_confidence","0.9","cuisine_uncertain、recommended_dishes_empty、full_address_empty","潮汕牛肉火锅（推测）","火锅","","火锅","火锅、餐饮服务、中餐厅、火锅店","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M116","潮汕258·聚味牛杂煲火锅（昌平店）","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","火锅","","火锅","火锅、餐饮服务、中餐厅、适合聚餐","昌平店","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M119","京馋猫山野鲜货火锅","high_confidence","0.9","cuisine_empty、full_address_empty","","火锅","牛肝菌，吊龙牛肉，招牌菌汤锅","","火锅、牛肝菌、吊龙牛肉、招牌菌汤锅、餐饮服务、中餐厅","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M120","聚首堂·特色小吃·肘子","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","清真","","","清真、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、风景名胜、国家级景点、交通设施服务、地铁站、适合聚餐","什刹海附近（待确认）","","/清真|牛街|阿拉伯|ALAMEEN/i"
"M121","宽板凳老灶火锅","high_confidence","0.9","cuisine_empty","","火锅","自助；不要选辣锅；吊龙","","火锅、自助、不要选辣锅、吊龙、餐饮服务、中餐厅、火锅店、近沙河","沙河店","沙河镇兆丰家园东区13-1号","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M124","浅锅日式和牛火锅自助·寿喜烧","high_confidence","0.9","cuisine_empty、recommended_dishes_empty、full_address_empty","","火锅","","火锅、寿喜烧","火锅、餐饮服务、外国餐厅、日本料理、中餐厅、特色、地方风味餐厅、寿喜烧","","","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M135","重八牛府之小刀牛试（魏公村店）","high_confidence","0.9","cuisine_empty、recommended_dishes_empty","","火锅","","火锅","火锅、餐饮服务、中餐厅、火锅店","魏公村店","北京城区中关村南大街2号华宇时尚购物中心夹层","/火锅|涮|锅底|毛肚|鸭肠|酸汤|牛杂煲|猪肚鸡/"
"M136","ALAMEEN 阿拉伯餐厅（三里屯店）","high_confidence","0.9","cuisine_empty、recommended_dishes_empty","","清真","","","清真、餐饮服务、外国餐厅、其它亚洲菜、中餐厅、清真菜馆、餐饮相关场所、餐饮相关","三里屯","三里屯西五街西2号(近德国大使馆)","/清真|牛街|阿拉伯|ALAMEEN/i"
"M025","鹤一","high_confidence","0.88","cuisine_uncertain、recommended_dishes_empty、full_address_empty","烧肉（推测）","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、冷饮店、烤肉、近学院南路","亚运村店","","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M065","戈拿旺","high_confidence","0.88","cuisine_uncertain、recommended_dishes_empty、full_address_empty","烤肉自助（推测）","烧烤","","烤肉","烧烤、餐饮服务、外国餐厅、巴西菜、餐饮相关场所、餐饮相关、烤肉","","","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M071","煌朝排档（三里屯店）","high_confidence","0.88","cuisine_uncertain、recommended_dishes_empty、full_address_empty","排档 / 粤菜（推测）","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、湖北菜、烤肉","三里屯","","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M122","猛古里烤肉自助（王府井银泰in88店）","high_confidence","0.88","cuisine_empty、recommended_dishes_empty","","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、烤肉","王府井银泰in88","王府井大街88号北京王府井银泰in883层","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M132","幸福砂锅居","high_confidence","0.88","cuisine_empty、full_address_empty","","烧烤","酸菜白肉，烤羊肉串","","烧烤、酸菜白肉、烤羊肉串、餐饮服务、中餐厅","白浮店","","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M134","张记焖窖·十五年专注焖烤","high_confidence","0.88","cuisine_empty、recommended_dishes_empty、full_address_empty","","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、特色、地方风味餐厅、烤肉","","","/烧烤|烤翅|烤串|烤肉|焖烤/"
"M043","湘彬萱","high_confidence","0.86","cuisine_uncertain、recommended_dishes_empty、full_address_empty","湘菜（推测，需确认）","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉","","","/湘|臭鳜鱼|小炒黄牛肉/"
"M077","利哥","high_confidence","0.86","cuisine_uncertain、recommended_dishes_empty、full_address_empty","湘菜（推测）","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、四川菜、湖南菜、小炒黄牛肉、近学院南路","匠熙小馆隔壁，南路东门外附近","","/湘|臭鳜鱼|小炒黄牛肉/"
"M131","湘北·臭鳜鱼·湘土菜（北街家园店）","high_confidence","0.86","cuisine_empty、recommended_dishes_empty、full_address_empty","","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉","北街家园店","","/湘|臭鳜鱼|小炒黄牛肉/"
"M007","匠熙小馆","high_confidence","0.84","cuisine_empty、recommended_dishes_empty、full_address_empty","","川菜","","","川菜、餐饮服务、中餐厅、四川菜、近学院南路","南路东门外附近；市里亦有分店","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M009","郑阿公","high_confidence","0.84","cuisine_uncertain、full_address_empty","顺德菜 / 牛肉煲（推测）","粤菜","牛肉煲、虾皇饺；牛肉煲，鸡煲，肠粉，虾皇饺","","粤菜、牛肉煲、虾皇饺、鸡煲、肠粉、番茄豆腐煲、双皮奶、地名地址信息、热点地名、交通设施服务","昌平万达、五道口均提及","","/粤|顺德|茶餐厅|冰室|干蒸|煲仔|肠粉/"
"M018","江川佑","high_confidence","0.84","cuisine_uncertain、recommended_dishes_empty、full_address_empty","轻食（推测）","川菜","","","川菜、餐饮服务、中餐厅、餐饮相关场所、餐饮相关、生活服务、事务所、律师事务所、近沙河","沙河","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M028","腊罗巴","high_confidence","0.84","cuisine_empty、recommended_dishes_empty、full_address_empty","","川菜","","","川菜、餐饮服务、中餐厅、云贵菜、近学院南路","南路附近","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M041","文通冰室","high_confidence","0.84","cuisine_uncertain、full_address_empty","港式茶餐厅（推测）","粤菜","炖汤","","粤菜、炖汤、餐饮服务、餐饮相关场所、餐饮相关、中餐厅","","","/粤|顺德|茶餐厅|冰室|干蒸|煲仔|肠粉/"
"M080","曼玲","high_confidence","0.84","cuisine_uncertain、recommended_dishes_empty、full_address_empty","轻食（推测）","川菜","","","川菜、餐饮服务、快餐厅、中餐厅、近沙河","沙河","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M090","蜀阳酒店","high_confidence","0.84","cuisine_uncertain、recommended_dishes_empty","川菜（推测）","川菜","","","川菜、住宿服务、宾馆酒店、餐饮服务、餐饮相关场所、餐饮相关、近学院南路","南路后面","皂君庙乙4号","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M109","宜宾招待所","high_confidence","0.84","cuisine_uncertain、recommended_dishes_empty、full_address_empty","川菜（推测）","川菜","","","川菜、餐饮服务、中餐厅、四川菜、住宿服务、旅馆招待所、近学院南路","南路附近","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M115","北平宴（中关村）","high_confidence","0.84","cuisine_empty、full_address_empty","","川菜","烤鸭，炙羊肉，干炸丸子，香椿豆腐丝","","川菜、烤鸭、炙羊肉、干炸丸子、香椿豆腐丝、餐饮服务、中餐厅、四川菜","","","/川|蜀|渝|宜宾|小面|燃面|麻辣|水煮|酸菜鱼/"
"M117","陈潮昇顺德干蒸（北京首店）","high_confidence","0.84","cuisine_empty、recommended_dishes_empty","","粤菜","","","粤菜、生活服务、洗浴推拿场所、科教文化服务、科教文化场所","北京首店","中关村大街49号3幢平房102号","/粤|顺德|茶餐厅|冰室|干蒸|煲仔|肠粉/"
"M128","思念妈妈菜东北小馆","high_confidence","0.84","cuisine_empty、recommended_dishes_empty","","东北菜","","锅包肉","东北菜、餐饮服务、中餐厅、锅包肉","","北京城区蓝郡国际花园商住楼东2门旁","/东北|铁锅炖|锅包肉|砂锅居/"
"M129","随园食记","high_confidence","0.84","cuisine_empty、full_address_empty","","东北菜","锅包肉，咖喱肥牛","","东北菜、锅包肉、咖喱肥牛、餐饮服务、中餐厅、生活服务、美容美发店、特色、地方风味餐厅","","","/东北|铁锅炖|锅包肉|砂锅居/"
"M133","粤食佳","high_confidence","0.84","cuisine_empty、full_address_empty","","粤菜","海鲜蚝仔烙，凤爪，脆黄瓜","","粤菜、海鲜蚝仔烙、凤爪、脆黄瓜、餐饮服务、中餐厅、广东菜","","","/粤|顺德|茶餐厅|冰室|干蒸|煲仔|肠粉/"
"M011","方砖厂","high_confidence","0.82","cuisine_uncertain、recommended_dishes_empty、full_address_empty","炸酱面（推测）","北京菜","","炸酱面","北京菜、餐饮服务、中餐厅、炸酱面","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M020","徐小黑","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、中餐厅、近沙河","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M023","大理石","high_confidence","0.82","cuisine_uncertain、full_address_empty","自助餐（推测）","北京菜","酸奶、牛肉馅饺子","","北京菜、酸奶、牛肉馅饺子、购物服务、家居建材市场、建材五金市场、家具建材综合市场、生活服务、美容美发店、灯具瓷器市场","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M033","聚恩园","high_confidence","0.82","cuisine_uncertain、full_address_empty","炸酱面 / 北京菜（推测）","北京菜","肘子、酱肉","","北京菜、肘子、酱肉、餐饮服务、中餐厅、风景名胜、风景名胜相关、旅游景点、商务住宅、商务住宅相关","雍和宫附近","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M073","锦炉","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、中餐厅、餐饮相关场所、餐饮相关、特色、地方风味餐厅","郊区多店","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M111","云野菜·和牛寿喜烧（新中关店）","high_confidence","0.82","cuisine_uncertain、recommended_dishes_empty、full_address_empty","寿喜烧 / 日料（推测）","日料","","寿喜烧","日料、餐饮服务、外国餐厅、日本料理、寿喜烧","新中关","","/日式|寿喜烧|和牛|寿司|三文鱼/"
"M123","南京大牌档","high_confidence","0.82","cuisine_empty、full_address_empty","","北京菜","南京烤鸭，赤豆元宵，美龄粥，泡椒鸡，虾黄豆腐，糖芋苗","","北京菜、南京烤鸭、赤豆元宵、美龄粥、泡椒鸡、虾黄豆腐、糖芋苗、餐饮服务、中餐厅、江苏菜","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M125","三文鱼大王（减脂版）","high_confidence","0.82","cuisine_empty、recommended_dishes_empty、full_address_empty","","北京菜","","","北京菜、餐饮服务、外国餐厅、日本料理、购物服务、综合市场、水产海鲜市场、中餐厅、海鲜酒楼","","","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M126","申德勒加油站西餐厅（日坛路总店）","high_confidence","0.82","cuisine_empty、recommended_dishes_empty","","西餐","","","西餐、餐饮服务、外国餐厅、西餐厅、德国菜、汽车服务、加油站、中国石化、中餐厅、咖啡厅","日坛路总店","光华路甲17号","/西餐|披萨|pizza|俄餐|阿拉伯/"
"M127","水平有限广西米粉·广西风味集","high_confidence","0.82","cuisine_empty、recommended_dishes_empty","","北京菜","","","北京菜、餐饮服务、中餐厅","","北京城区成府路华清嘉园7-6号(五道口地铁站B南口步行330米)","/北京|北平|炸酱面|烤鸭|铜锅|涮羊肉|护国寺/"
"M016","1733","needs_review","0.78","cuisine_empty、recommended_dishes_empty、full_address_empty","","面食","","","面食、购物服务、购物相关场所、餐饮服务、餐饮相关场所、餐饮相关、交通设施服务、公交车站、公交车站相关、地铁站","大钟寺站附近 / 北航附近","","/面|米粉|米线|粉|炸酱/"
"M074","晋喜","needs_review","0.78","cuisine_uncertain、recommended_dishes_empty、full_address_empty","山西面食（推测）","面食","","","面食、餐饮服务、中餐厅、地名地址信息、热点地名、风景名胜、公园广场、公园、交通设施服务、地铁站","大同古城","","/面|米粉|米线|粉|炸酱/"
"M008","小渝府","needs_review","0.68","recommended_dishes_empty、full_address_empty","川菜","川菜","","火锅","川菜、餐饮服务、中餐厅、四川菜、火锅店、火锅、近学院南路","南路附近","","只生成标签/推荐菜线索，需人工确认"
"M022","比格","needs_review","0.68","recommended_dishes_empty、full_address_empty","披萨自助","披萨自助","","披萨","披萨自助、餐饮服务、外国餐厅、西餐厅、快餐厅、披萨","","","只生成标签/推荐菜线索，需人工确认"
"M026","聚宝源","needs_review","0.68","recommended_dishes_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、清真菜馆、购物服务、专卖店、专营店、火锅、清真、适合聚餐","牛街总店","北京城区牛街5-2号(牛街地铁站D2口步行390米)","只生成标签/推荐菜线索，需人工确认"
"M027","烤匠","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤鱼","烤鱼","","火锅","烤鱼、餐饮服务、中餐厅、火锅店、冷饮店、体育休闲服务、娱乐场所、火锅","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M032","汉巴味德","needs_review","0.68","recommended_dishes_empty、full_address_empty","巴西烤肉自助","巴西烤肉自助","","烤肉","巴西烤肉自助、餐饮服务、快餐厅、中餐厅、烤肉","","","只生成标签/推荐菜线索，需人工确认"
"M035","烤小呆","needs_review","0.68","recommended_dishes_empty、full_address_empty","火锅鸡 / 聚餐","火锅鸡 / 聚餐","","火锅","火锅鸡、聚餐、餐饮服务、中餐厅、综合酒楼、火锅、适合聚餐","","","只生成标签/推荐菜线索，需人工确认"
"M036","客拉客","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","火锅、烤肉","烧烤、餐饮服务、中餐厅、火锅店、特色、地方风味餐厅、火锅、烤肉、近沙河","","","只生成标签/推荐菜线索，需人工确认"
"M042","鲜潭蒸汽石锅鱼","needs_review","0.68","recommended_dishes_empty、full_address_empty","鱼火锅 / 蒸汽鱼","鱼火锅 / 蒸汽鱼","","火锅、酸菜鱼","鱼火锅、蒸汽鱼、餐饮服务、中餐厅、火锅店、特色、地方风味餐厅、购物服务、购物相关场所、体育用品店","超级合生汇、悦荟广场、五道口均有店","","只生成标签/推荐菜线索，需人工确认"
"M046","小院子湘菜馆","needs_review","0.68","recommended_dishes_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉、近沙河","沙河；青年创业大厦店","百沙路200号青年创业大厦F1层","只生成标签/推荐菜线索，需人工确认"
"M051","安又胖","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤肉","烤肉","","烤肉","烤肉、餐饮服务、外国餐厅、韩国料理","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M052","煲仔皇","needs_review","0.68","recommended_dishes_empty、full_address_empty","煲仔饭","煲仔饭","","煲仔饭","煲仔饭、餐饮服务、中餐厅","超级合生汇","","只生成标签/推荐菜线索，需人工确认"
"M054","承京运·宫廷炸酱面","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京炸酱面","北京炸酱面","","炸酱面","北京炸酱面、餐饮服务、中餐厅、生活服务、生活服务场所、炸酱面","","","只生成标签/推荐菜线索，需人工确认"
"M060","东北原味烧烤","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","烤肉、锅包肉","烧烤、餐饮服务、中餐厅、特色、地方风味餐厅、餐饮相关场所、餐饮相关、烤肉、锅包肉","","","只生成标签/推荐菜线索，需人工确认"
