id,name,reviewStatus,confidence,issues,currentCuisine,suggestedCuisine,currentRecommendedDishes,suggestedRecommendedDishes,suggestedTags,locationHint,fullAddress,reason
"M075","京晟铜锅涮肉（护国寺店）","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅、烤肉","北京涮羊肉、餐饮服务、餐饮相关场所、餐饮相关、火锅、烤肉","护国寺","","只生成标签/推荐菜线索，需人工确认"
"M079","满恒记","needs_review","0.68","recommended_dishes_empty","涮肉","涮肉","","火锅","涮肉、餐饮服务、中餐厅、火锅店、火锅、清真","","地安门西大街与西四北大街交叉口东南40米","只生成标签/推荐菜线索，需人工确认"
"M083","嬲塞de湘菜馆","needs_review","0.68","recommended_dishes_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、小炒黄牛肉","北师大附近","杏坛路44号(蓟门桥地铁站C口步行460米)","只生成标签/推荐菜线索，需人工确认"
"M085","彭厨","needs_review","0.68","recommended_dishes_empty、full_address_empty","湘菜","湘菜","","小炒黄牛肉","湘菜、餐饮服务、中餐厅、湖南菜、餐饮相关场所、餐饮相关、小炒黄牛肉","昌平城里","","只生成标签/推荐菜线索，需人工确认"
"M088","山葵村","needs_review","0.68","recommended_dishes_empty、full_address_empty","烤肉","烤肉","","烤肉","烤肉、餐饮服务、中餐厅、特色、地方风味餐厅、近沙河","沙河较远","","只生成标签/推荐菜线索，需人工确认"
"M089","石器时代","needs_review","0.68","recommended_dishes_empty、full_address_empty","烧烤","烧烤","","烤肉","烧烤、餐饮服务、中餐厅、特色、地方风味餐厅、烤肉","","","只生成标签/推荐菜线索，需人工确认"
"M093","王奋斗贵州酸汤火锅","needs_review","0.68","recommended_dishes_empty、full_address_empty","贵州酸汤火锅","贵州酸汤火锅","","火锅、酸菜鱼","贵州酸汤火锅、餐饮服务、中餐厅、云贵菜、火锅店、火锅、酸菜鱼、近沙河","沙河附近（推测）","","只生成标签/推荐菜线索，需人工确认"
"M095","玺源居","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、火锅店、清真菜馆、火锅、清真","鼓楼","","只生成标签/推荐菜线索，需人工确认"
"M098","小江庐江西小炒","needs_review","0.68","recommended_dishes_empty、full_address_empty","江西菜","江西菜","","小炒黄牛肉","江西菜、餐饮服务、中餐厅、小炒黄牛肉","玖耀里","","只生成标签/推荐菜线索，需人工确认"
"M099","小街猪手","needs_review","0.68","recommended_dishes_empty、full_address_empty","猪手 / 小吃","猪手 / 小吃","","火锅、酸菜鱼","猪手、小吃、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、火锅店、火锅、酸菜鱼、近学院南路","望京；疑似南路","","只生成标签/推荐菜线索，需人工确认"
"M100","小炉灶铁锅炖","needs_review","0.68","recommended_dishes_empty","东北铁锅炖","东北铁锅炖","","锅包肉","东北铁锅炖、餐饮服务、中餐厅、锅包肉","","北京富雷科技股份有限公司西北门旁","只生成标签/推荐菜线索，需人工确认"
"M104","鸦儿李记","needs_review","0.68","recommended_dishes_empty、full_address_empty","北京涮羊肉","北京涮羊肉","","火锅","北京涮羊肉、餐饮服务、中餐厅、清真菜馆、火锅店、火锅、清真","西直门旁、什刹海均有店","","只生成标签/推荐菜线索，需人工确认"
"M001","老张头东北菜","needs_review","0.35","full_address_empty","东北菜","东北菜","溜肉段、锅包肉；锅包肉，大骨头烩酸菜，干煸四季豆","","东北菜、溜肉段、锅包肉、大骨头烩酸菜、干煸四季豆、餐饮服务、中餐厅","恒大城附近；老张头东北老菜馆（具体分店待确认）","","只生成标签/推荐菜线索，需人工确认"
"M002","潇湘阁","needs_review","0.35","","湘菜","湘菜","小炒黄牛肉、茄子、金钱蛋、鸡爪；金钱蛋，擂辣椒，小炒拆骨肉，爆炒猪肝","","湘菜、小炒黄牛肉、茄子、金钱蛋、鸡爪、擂辣椒、小炒拆骨肉、爆炒猪肝、餐饮服务、中餐厅","南路附近；连锁；辉煌国际店","北京城区上地十街1号院辉煌国际广场17街B1层(靠近招商银行)","只生成标签/推荐菜线索，需人工确认"
"M003","广顺兴","needs_review","0.35","","猪肚鸡 / 煲仔饭","猪肚鸡 / 煲仔饭","猪肚鸡、煲仔饭","","猪肚鸡、煲仔饭、餐饮服务、中餐厅、购物服务、购物相关场所、餐饮相关场所、餐饮相关","","朝阳路辅路与十里堡南里中路交叉口东南160米","只生成标签/推荐菜线索，需人工确认"
"M004","四川孙鲶鱼","needs_review","0.35","","川菜 / 鱼火锅","川菜 / 鱼火锅","鲶鱼、黄辣丁","","川菜、鱼火锅、鲶鱼、黄辣丁、餐饮服务、中餐厅","牡丹园；牡丹园店","花园路2号33号楼2层(牡丹园地铁站A西北口步行320米)","只生成标签/推荐菜线索，需人工确认"
"M005","宏宝莱","needs_review","0.35","full_address_empty","冰淇淋 / 饮品","冰淇淋 / 饮品","抹茶、奥利奥口味","","冰淇淋、饮品、抹茶、奥利奥口味、购物服务、综合市场、果品市场、汽车服务、充电站、近学院南路","南路","","只生成标签/推荐菜线索，需人工确认"
"M006","作作烧肉","needs_review","0.35","full_address_empty","日式烧肉","日式烧肉","牛油果冰沙","","日式烧肉、牛油果冰沙、餐饮服务、外国餐厅、餐饮相关场所、餐饮相关、中餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M010","超意兴","needs_review","0.35","full_address_empty","鲁菜快餐","鲁菜快餐","把子肉","","鲁菜快餐、把子肉、餐饮服务、快餐厅、中餐厅","九耀里附近（依据对话）","","只生成标签/推荐菜线索，需人工确认"
"M012","凤临阁","needs_review","0.35","full_address_empty","山西菜 / 烧卖","山西菜 / 烧卖","烧卖","","山西菜、烧卖、地名地址信息、热点地名、交通设施服务、地铁站、风景名胜、风景名胜相关、旅游景点、商务住宅","大同古城","","只生成标签/推荐菜线索，需人工确认"
"M013","拉蒂娜","needs_review","0.35","full_address_empty","巴西烤肉自助","巴西烤肉自助","菠萝","","巴西烤肉自助、菠萝、餐饮服务、外国餐厅、西餐厅、牛扒店、购物服务、家居建材市场、家具城","连锁；具体门店待确认","","只生成标签/推荐菜线索，需人工确认"
"M014","探鱼","needs_review","0.35","","烤鱼","烤鱼","都可以尝试","","烤鱼、都可以尝试、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、外国餐厅、美式风味、特色、地方风味餐厅","沙河附近（推测）","中海大吉巷B1层大吉巷北街152号","只生成标签/推荐菜线索，需人工确认"
"M015","醉江边","needs_review","0.35","full_address_empty","烤鱼 / 牛蛙","烤鱼 / 牛蛙","甜辣烤鱼、牛蛙","","烤鱼、牛蛙、甜辣烤鱼、餐饮服务、中餐厅、特色、地方风味餐厅、近沙河、近学院南路","南路，离学校近；沙河店；豆花烤鱼","","只生成标签/推荐菜线索，需人工确认"
"M017","大宅门","needs_review","0.35","full_address_empty","烤鸭 / 北京菜","烤鸭 / 北京菜","烤鸭","","烤鸭、北京菜、餐饮服务、中餐厅、综合酒楼、购物服务、家居建材市场、建材五金市场、餐饮相关场所、餐饮相关","昌平城里","","只生成标签/推荐菜线索，需人工确认"
"M019","西塔老太太","needs_review","0.35","","烤肉","烤肉","肉整体质量不错","","烤肉、肉整体质量不错、餐饮服务、餐饮相关场所、餐饮相关、中餐厅","超级合生汇","广顺北大街16号院3号楼华彩万象汇4F层西塔老太太烤肉","只生成标签/推荐菜线索，需人工确认"
"M021","真功夫原盅现蒸","needs_review","0.35","recommended_dishes_empty、full_address_empty","快餐","快餐","","","快餐、餐饮服务、快餐厅、中餐厅、餐饮相关场所、餐饮相关","","","只生成标签/推荐菜线索，需人工确认"
"M024","赣掌佬","needs_review","0.35","full_address_empty","江西菜","江西菜","小黄鱼","","江西菜、小黄鱼、餐饮服务、餐饮相关场所、餐饮相关、中餐厅、近沙河","玖耀里（推测）","","只生成标签/推荐菜线索，需人工确认"
"M030","必胜客","needs_review","0.35","full_address_empty","西餐 / 披萨","西餐 / 披萨","自助餐活动","","西餐、披萨、自助餐活动、餐饮服务、快餐厅、必胜客","","","只生成标签/推荐菜线索，需人工确认"
"M031","疯狂烤翅","needs_review","0.35","","烧烤","烧烤","烤翅","","烧烤、烤翅、餐饮服务、中餐厅、快餐厅、近学院南路","南路门口","唐家岭南环路3号唐家岭新城T08小区","只生成标签/推荐菜线索，需人工确认"
"M034","凯鸽","needs_review","0.35","recommended_dishes_empty、full_address_empty","山西菜","山西菜","","","山西菜、地名地址信息、热点地名、风景名胜、交通设施服务、地铁站、商务住宅、商务住宅相关、交通地名、道路名","大同古城","","只生成标签/推荐菜线索，需人工确认"
"M037","楠小罐云南罐罐米线（学院路店）","needs_review","0.35","full_address_empty","云南米线","云南米线","甜品；各种特色米线和米布","","云南米线、甜品、各种特色米线和米布、薄荷烧排骨、餐饮服务、中餐厅","学院路","","只生成标签/推荐菜线索，需人工确认"
"M040","山河屯铁锅炖","needs_review","0.35","","东北铁锅炖","东北铁锅炖","锅包肉、鸡锅","","东北铁锅炖、锅包肉、鸡锅、餐饮服务、中餐厅、近沙河","玖耀里；沙河亦有店","沙河镇玖耀里东区2号楼2层201","只生成标签/推荐菜线索，需人工确认"
"M044","湘泽园","needs_review","0.35","full_address_empty","湘菜","湘菜","肉汤拌饭","","湘菜、肉汤拌饭、餐饮服务、中餐厅、湖南菜、商务住宅、住宅区、住宅小区、风景名胜、公园广场","南路附近","","只生成标签/推荐菜线索，需人工确认"
"M045","小广东猛火炒饭","needs_review","0.35","recommended_dishes_empty、full_address_empty","炒饭","炒饭","","","炒饭、餐饮服务、中餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M048","争鲜","needs_review","0.35","full_address_empty","日料 / 寿司","日料 / 寿司","鳗鱼饭","","日料、寿司、鳗鱼饭、餐饮服务、外国餐厅、日本料理","","","只生成标签/推荐菜线索，需人工确认"
"M049","猪小犟","needs_review","0.35","cuisine_uncertain、recommended_dishes_empty、full_address_empty","家常菜（推测）","家常菜","","","家常菜、餐饮服务、中餐厅、近沙河","沙河附近；沙河店","","只生成标签/推荐菜线索，需人工确认"
"M050","紫泥","needs_review","0.35","recommended_dishes_empty、full_address_empty","山西菜","山西菜","","","山西菜、地名地址信息、热点地名、交通地名、道路名、交通设施服务、地铁站、风景名胜","大同古城","","只生成标签/推荐菜线索，需人工确认"
"M094","蜗牛小馆","needs_review","0.35","cuisine_empty、recommended_dishes_empty","","","","","餐饮服务、中餐厅、近学院南路","南路","安苑路惠新西里一区2号楼瑞尔利宾馆1层","只生成标签/推荐菜线索，需人工确认"
"M053","便宜坊","needs_review","0.35","full_address_empty","烤鸭 / 北京菜","烤鸭 / 北京菜","烤鸭","","烤鸭、北京菜、餐饮服务、中餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M055","船歌鱼水饺","needs_review","0.35","full_address_empty","海鲜水饺","海鲜水饺","鲅鱼水饺、海肠捞饭","","海鲜水饺、鲅鱼水饺、海肠捞饭、餐饮服务、中餐厅、特色、地方风味餐厅","青岛","","只生成标签/推荐菜线索，需人工确认"
"M056","创新火锅鸡（于辛庄店）","needs_review","0.35","full_address_empty","火锅鸡","火锅鸡","方便面","","火锅鸡、方便面、餐饮服务、中餐厅、火锅店","昌平区三号公寓","","只生成标签/推荐菜线索，需人工确认"
"M057","达美乐","needs_review","0.35","full_address_empty","披萨","披萨","意式肉酱披萨","","披萨、意式肉酱披萨、餐饮服务、快餐厅、外国餐厅、餐饮相关场所、餐饮相关","","","只生成标签/推荐菜线索，需人工确认"
"M058","大地西餐厅","needs_review","0.35","recommended_dishes_empty","俄餐","俄餐","","","俄餐、餐饮服务、外国餐厅、俄国菜、政府机构及社会团体、外国机构、外国使领馆","大使馆区域（推测）","西四南大街44号(缸瓦市教堂斜对面)","只生成标签/推荐菜线索，需人工确认"
"M059","德南面包房","needs_review","0.35","","面包 / 甜品","面包 / 甜品","蛋糕","","面包、甜品、蛋糕、餐饮服务、糕饼店","大钟寺附近","北京城区北京城区北三环西路1733商业空间2号楼1层底商01号","只生成标签/推荐菜线索，需人工确认"
"M061","东发道茶冰厅","needs_review","0.35","recommended_dishes_empty","粤式茶餐厅","粤式茶餐厅","","","粤式茶餐厅、餐饮服务、中餐厅","西单附近","西单北大街131号西单大悦城8F-03","只生成标签/推荐菜线索，需人工确认"
"M063","肥鸡烧烤","needs_review","0.35","full_address_empty","烧烤","烧烤","烤鹅肝配馕","","烧烤、烤鹅肝配馕、餐饮服务、中餐厅、火锅店","西直门附近","","只生成标签/推荐菜线索，需人工确认"
"M064","冯层层","needs_review","0.35","full_address_empty","切角蛋糕 / 糕点","切角蛋糕 / 糕点","切角蛋糕、糕点","","切角蛋糕、糕点、风景名胜、地名地址信息、交通地名、道路名、风景名胜相关、旅游景点、观景点、住宿服务","南锣鼓巷附近（依据上下文）；南锣鼓巷附近（待确认）","","只生成标签/推荐菜线索，需人工确认"
"M066","桂满陇","needs_review","0.35","full_address_empty","杭帮菜","杭帮菜","青菜肉丝炒年糕、豆腐年糕汤、桂花年糕","","杭帮菜、青菜肉丝炒年糕、豆腐年糕汤、桂花年糕、餐饮服务、中餐厅、风景名胜、风景名胜相关、旅游景点","","","只生成标签/推荐菜线索，需人工确认"
"M067","海汕记","needs_review","0.35","full_address_empty","潮汕牛肉火锅自助","潮汕牛肉火锅自助","鲜啤","","潮汕牛肉火锅自助、鲜啤、餐饮服务、中餐厅、火锅店","","","只生成标签/推荐菜线索，需人工确认"
"M069","淮扬府","needs_review","0.35","recommended_dishes_empty、full_address_empty","淮扬菜","淮扬菜","","","淮扬菜、餐饮服务、中餐厅、江苏菜、浙江菜、公司企业、公司、住宿服务、住宿服务相关","北京","","只生成标签/推荐菜线索，需人工确认"
"M070","黄隐厨老妈蹄花","needs_review","0.35","full_address_empty","川菜","川菜","老妈蹄花、豆腐","","川菜、老妈蹄花、豆腐、餐饮服务、中餐厅","昌平地铁站旁、中国黄金楼上","","只生成标签/推荐菜线索，需人工确认"
"M072","记忆山城巷重庆鸡公煲（昌平南环路店）","needs_review","0.35","full_address_empty","重庆鸡公煲","重庆鸡公煲","冰豆花","","重庆鸡公煲、冰豆花、购物服务、超级市场、超市、便民商店、便利店、餐饮服务、中餐厅、山东菜","昌平区城北街道南环东路21号物美超市1层","","只生成标签/推荐菜线索，需人工确认"
"M076","雷老哥土鲫鱼下饭菜","needs_review","0.35","full_address_empty","湘菜 / 下饭菜","湘菜 / 下饭菜","醋炒鸡蛋、土鲫鱼","","湘菜、下饭菜、醋炒鸡蛋、土鲫鱼、餐饮服务、中餐厅、餐饮相关场所、餐饮相关、近学院南路","南路附近有分店（待确认）","","只生成标签/推荐菜线索，需人工确认"
"M078","麦记牛奶","needs_review","0.35","full_address_empty","甜品 / 饮品","甜品 / 饮品","木薯大满贯（冰）","","甜品、饮品、木薯大满贯、购物服务、综合市场、农副产品市场、近沙河","沙河","","只生成标签/推荐菜线索，需人工确认"
"M081","梅果","needs_review","0.35","cuisine_uncertain、recommended_dishes_empty、full_address_empty","云南菜（依据上下文，需确认）","云南菜","","","云南菜（、）、地名地址信息、购物服务、综合市场、农副产品市场、果品市场、餐饮服务、冷饮店","","","只生成标签/推荐菜线索，需人工确认"
"M082","芈重山","needs_review","0.35","full_address_empty","火锅","火锅","嫩牛肉，滑肉片，嫩肉片","","火锅、嫩牛肉、滑肉片、嫩肉片、餐饮服务、中餐厅、火锅店、交通设施服务、地铁站、公交车站","昌平地铁站附近","","只生成标签/推荐菜线索，需人工确认"
"M084","胖妹小面","needs_review","0.35","recommended_dishes_empty、full_address_empty","重庆小面 / 面食","重庆小面 / 面食","","","重庆小面、面食、餐饮服务、中餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M086","彭姐麻辣烫","needs_review","0.35","","麻辣烫","麻辣烫","枣糕","","麻辣烫、枣糕、餐饮服务、中餐厅、快餐厅","五道口","北京城区王庄路33号底商一层","只生成标签/推荐菜线索，需人工确认"
"M087","平安锅贴","needs_review","0.35","full_address_empty","锅贴 / 北京小吃","锅贴 / 北京小吃","酱肉、西葫芦羊肉锅贴","","锅贴、北京小吃、酱肉、西葫芦羊肉锅贴、餐饮服务、中餐厅、快餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M091","顺峰","needs_review","0.35","full_address_empty","粤菜 / 早茶","粤菜 / 早茶","早茶自助","","粤菜、早茶、早茶自助、餐饮服务、中餐厅、海鲜酒楼、火锅店","北京","","只生成标签/推荐菜线索，需人工确认"
"M092","四海糖水铺","needs_review","0.35","full_address_empty","糖水 / 甜品","糖水 / 甜品","清补凉、芋圆糖水","","糖水、甜品、清补凉、芋圆糖水、餐饮服务、甜品店","","","只生成标签/推荐菜线索，需人工确认"
"M097","小菜园","needs_review","0.35","recommended_dishes_empty、full_address_empty","家常菜","家常菜","","","家常菜、餐饮服务、中餐厅、特色、地方风味餐厅、安徽菜","超级合生汇附近","","只生成标签/推荐菜线索，需人工确认"
"M103","鑫隆四季涮肉","needs_review","0.35","full_address_empty","北京涮羊肉","北京涮羊肉","鲜牛肉丸","","北京涮羊肉、鲜牛肉丸、餐饮服务、中餐厅、火锅店","","","只生成标签/推荐菜线索，需人工确认"
"M105","雅佳神话","needs_review","0.35","recommended_dishes_empty、full_address_empty","烤鱼","烤鱼","","","烤鱼、餐饮服务、中餐厅、特色、地方风味餐厅","五道口","","只生成标签/推荐菜线索，需人工确认"
"M106","阳坊大都涮羊肉","needs_review","0.35","","北京涮羊肉","北京涮羊肉","苏尼特羊肉；自助餐","","北京涮羊肉、苏尼特羊肉、自助餐、餐饮服务、中餐厅、火锅店","朱辛庄","安居路7号TBD住总万科天地安居路7号院","只生成标签/推荐菜线索，需人工确认"
"M107","阳坊涮肉","needs_review","0.35","full_address_empty","北京涮羊肉","北京涮羊肉","牛肉丸","","北京涮羊肉、牛肉丸、餐饮服务、中餐厅、火锅店","","","只生成标签/推荐菜线索，需人工确认"
"M108","宜宾燃面","needs_review","0.35","full_address_empty","面食","面食","鸡杂面（疑似）","","面食、鸡杂面、餐饮服务、中餐厅","学校东区二层附近","","只生成标签/推荐菜线索，需人工确认"
"M110","粤云龙广东顺德菜（昌平店）","needs_review","0.35","","粤菜 / 顺德菜","粤菜 / 顺德菜","鸡、煲仔饭","","粤菜、顺德菜、鸡、煲仔饭、餐饮服务、中餐厅、四川菜、适合聚餐","昌平","西关路5号1栋","只生成标签/推荐菜线索，需人工确认"
"M112","正兴蜀园","needs_review","0.35","recommended_dishes_empty、full_address_empty","川菜","川菜","","","川菜、餐饮服务、中餐厅、四川菜","","","只生成标签/推荐菜线索，需人工确认"
"M113","紫光园","needs_review","0.35","recommended_dishes_empty","清真 / 北京小吃","清真 / 北京小吃","","","清真、北京小吃、餐饮服务、中餐厅、北京菜、清真菜馆","","东大桥路21号(东大桥地铁站G口步行200米)","只生成标签/推荐菜线索，需人工确认"
"M114","紫燕百味鸡","needs_review","0.35","recommended_dishes_empty、full_address_empty","卤味","卤味","","","卤味、餐饮服务、餐饮相关场所、餐饮相关、快餐厅","","","只生成标签/推荐菜线索，需人工确认"
"M118","浩海火烧云傣家菜","needs_review","0.35","cuisine_empty、full_address_empty","","","油焖鸡，黑三剁","","油焖鸡、黑三剁、炸包浆豆腐、餐饮服务、中餐厅、云贵菜","","","只生成标签/推荐菜线索，需人工确认"
"M130","蜗牛的家小酒馆","needs_review","0.35","cuisine_empty、full_address_empty","","","炊锅鸡，木姜子煮鱼，清炒小青菜","","炊锅鸡、木姜子煮鱼、清炒小青菜、餐饮服务、中餐厅、体育休闲服务、娱乐场所、酒吧、体育休闲服务场所、餐饮相关场所","","","只生成标签/推荐菜线索，需人工确认"
